##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	SRR4342129_1.paired.trimmed.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	24055346
Sequences flagged as poor quality	0
Sequence length	50-101
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.49873300512909	34.0	31.0	34.0	31.0	34.0
2	32.585473432807824	34.0	31.0	34.0	31.0	34.0
3	32.598990594440004	34.0	31.0	34.0	31.0	34.0
4	36.09234554348127	37.0	35.0	37.0	35.0	37.0
5	36.094136455156374	37.0	35.0	37.0	35.0	37.0
6	36.11466095727744	37.0	36.0	37.0	35.0	37.0
7	36.118486468662724	37.0	36.0	37.0	35.0	37.0
8	36.09892329131329	37.0	36.0	37.0	35.0	37.0
9	37.88242068935529	39.0	38.0	39.0	35.0	39.0
10-11	37.86415969655976	39.0	38.0	39.0	35.0	39.0
12-13	37.853306890701134	39.0	38.0	39.0	35.0	39.0
14-15	39.29930330247588	41.0	39.0	41.0	36.0	41.0
16-17	39.277938010120494	41.0	39.0	41.0	36.0	41.0
18-19	39.28787303662146	41.0	39.0	41.0	36.0	41.0
20-21	39.32110872568617	41.0	39.0	41.0	36.0	41.0
22-23	39.300718871389336	41.0	39.0	41.0	36.0	41.0
24-25	39.27969680835187	41.0	39.0	41.0	36.0	41.0
26-27	39.21667268889003	40.5	39.0	41.0	36.0	41.0
28-29	39.14161588031201	40.0	39.0	41.0	35.5	41.0
30-31	39.04308491343255	40.0	38.5	41.0	35.0	41.0
32-33	38.921353386478	40.0	38.0	41.0	35.0	41.0
34-35	38.80231009772214	40.0	38.0	41.0	35.0	41.0
36-37	38.67397617145062	40.0	38.0	41.0	34.5	41.0
38-39	38.532411215369756	40.0	38.0	41.0	34.0	41.0
40-41	38.37313921820123	40.0	37.5	41.0	34.0	41.0
42-43	38.188675606661405	40.0	37.0	41.0	33.0	41.0
44-45	37.98515914092443	40.0	36.5	41.0	33.0	41.0
46-47	37.76211678684647	40.0	36.0	41.0	33.0	41.0
48-49	37.554875951482884	39.0	35.0	41.0	33.0	41.0
50-51	36.59337210820031	38.0	34.5	40.0	31.0	40.5
52-53	36.55644114278438	38.0	34.5	40.0	31.0	40.5
54-55	36.85718989727249	38.0	35.0	40.0	32.0	41.0
56-57	36.711656484801445	38.0	35.0	40.0	31.5	41.0
58-59	36.47099698257427	37.0	35.0	40.0	31.0	41.0
60-61	36.35656170503447	37.0	35.0	40.0	31.5	41.0
62-63	36.384106908449155	36.5	35.0	40.0	32.0	41.0
64-65	36.18999154075348	36.0	35.0	40.0	32.0	41.0
66-67	35.97750299548001	35.5	35.0	39.5	31.0	41.0
68-69	35.90938257482093	35.0	35.0	39.0	32.0	41.0
70-71	35.72908697403237	35.0	35.0	39.0	32.0	41.0
72-73	35.516317048736184	35.0	35.0	38.5	31.5	41.0
74-75	35.307061770466085	35.0	34.0	37.0	31.0	40.0
76-77	35.08765080283634	35.0	34.0	37.0	31.0	39.5
78-79	34.87213391965017	35.0	34.0	36.5	31.0	39.0
80-81	34.659232039211645	35.0	34.0	36.0	31.0	39.0
82-83	34.46872853119394	35.0	34.0	36.0	31.0	37.5
84-85	34.30203215903769	35.0	34.0	35.5	31.0	37.0
86-87	34.12901591506555	35.0	34.0	35.0	31.0	37.0
88-89	33.995925291320496	35.0	34.0	35.0	31.0	36.0
90-91	33.890812103195415	35.0	34.0	35.0	31.0	36.0
92-93	33.81403013418058	35.0	34.0	35.0	31.0	36.0
94-95	33.7557513268452	35.0	34.0	35.0	31.0	36.0
96-97	33.72818491588414	35.0	34.0	35.0	31.0	36.0
98-99	33.748259328048505	35.0	34.0	35.0	31.0	35.0
100-101	33.67326946672505	35.0	33.5	35.0	30.5	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.5455885675478811
1101	2	0.5617351654349889
1101	3	0.5443456800128033
1101	4	0.4063862996089469
1101	5	0.4265075771664968
1101	6	0.4387950017170681
1101	7	0.45040981001947245
1101	8	0.47019509810635185
1101	9	0.5506266313243202
1101	10-11	0.5357913635712279
1101	12-13	0.5266915018304488
1101	14-15	0.6693661744536641
1101	16-17	0.6909116876481747
1101	18-19	0.6578230671165883
1101	20-21	0.6573648039234143
1101	22-23	0.6432441000198494
1101	24-25	0.6558526848411788
1101	26-27	0.6445725962867357
1101	28-29	0.6389124370315145
1101	30-31	0.6085036120853502
1101	32-33	0.6223010821111146
1101	34-35	0.6017583517800915
1101	36-37	0.594940247755595
1101	38-39	0.6047061233902014
1101	40-41	0.5718038147068256
1101	42-43	0.5257044015562187
1101	44-45	0.4883646914714532
1101	46-47	0.5331198956603984
1101	48-49	0.4606255650515081
1101	50-51	0.412359289071901
1101	52-53	0.37247937548443133
1101	54-55	0.36148532449886517
1101	56-57	0.3727906885577923
1101	58-59	0.3102620831808025
1101	60-61	0.3199131233258967
1101	62-63	0.37281382223284254
1101	64-65	0.38120335388227744
1101	66-67	0.3711311596966027
1101	68-69	0.3235839506051903
1101	70-71	0.28999239010271083
1101	72-73	0.23353971029356302
1101	74-75	0.24215563900980897
1101	76-77	0.23968380262112987
1101	78-79	0.19156385530953202
1101	80-81	0.19937976981984917
1101	82-83	0.2048934986519484
1101	84-85	0.20501117258850599
1101	86-87	0.20038601132423395
1101	88-89	0.20375170912880947
1101	90-91	0.18799545579870625
1101	92-93	0.14205850481274496
1101	94-95	0.14350418588296776
1101	96-97	0.1490755362559284
1101	98-99	0.13043758059493626
1101	100-101	0.05856007381187567
1102	1	0.4702211547607149
1102	2	0.4955349573976022
1102	3	0.5286773872107844
1102	4	0.3799729721093996
1102	5	0.38090795019462576
1102	6	0.35638202501558425
1102	7	0.3882030042800011
1102	8	0.3470535440195235
1102	9	0.4712906708604194
1102	10-11	0.5129282811484686
1102	12-13	0.482668826204943
1102	14-15	0.6345781920501068
1102	16-17	0.633198097564069
1102	18-19	0.6231963811496044
1102	20-21	0.6367111550131739
1102	22-23	0.6105554721735444
1102	24-25	0.5872221417016874
1102	26-27	0.6051103645813996
1102	28-29	0.5542683219903068
1102	30-31	0.6258413165810239
1102	32-33	0.6021885488543646
1102	34-35	0.5630992324117372
1102	36-37	0.5711759275167978
1102	38-39	0.53078489650931
1102	40-41	0.4951235546151196
1102	42-43	0.5086255744681765
1102	44-45	0.4685849843043073
1102	46-47	0.42945993302745933
1102	48-49	0.49236047993158394
1102	50-51	0.45184293941602505
1102	52-53	0.40227799997538227
1102	54-55	0.3726586157521581
1102	56-57	0.3505779571103673
1102	58-59	0.2669115330791314
1102	60-61	0.28983890299568316
1102	62-63	0.368018530998782
1102	64-65	0.3464549224371325
1102	66-67	0.3187753429809419
1102	68-69	0.2978496481354327
1102	70-71	0.24854881553081043
1102	72-73	0.21062154463890437
1102	74-75	0.24440529364200358
1102	76-77	0.2567013341044202
1102	78-79	0.20725126196791877
1102	80-81	0.22150002621909692
1102	82-83	0.18499123336313517
1102	84-85	0.2066824405565626
1102	86-87	0.21366143261607107
1102	88-89	0.18244278487579635
1102	90-91	0.16306700803180973
1102	92-93	0.1620880428761211
1102	94-95	0.1422155239114531
1102	96-97	0.14603232780073228
1102	98-99	0.14032108870531346
1102	100-101	0.08006179400248215
1103	1	0.4313855458955942
1103	2	0.46809424159136626
1103	3	0.46397518136046045
1103	4	0.38035562576347104
1103	5	0.3547732334760454
1103	6	0.33900825400863965
1103	7	0.3691328845992672
1103	8	0.39015732381524515
1103	9	0.4695247259694071
1103	10-11	0.42512804754013445
1103	12-13	0.4744313045982267
1103	14-15	0.5787523154209637
1103	16-17	0.5710098251461986
1103	18-19	0.5525217875094128
1103	20-21	0.5402141240313583
1103	22-23	0.5745887424119118
1103	24-25	0.5779510295586903
1103	26-27	0.5907965907572006
1103	28-29	0.5768102894610649
1103	30-31	0.5601474347045396
1103	32-33	0.5848391809005946
1103	34-35	0.573654433884343
1103	36-37	0.5624307561302615
1103	38-39	0.5337693342953074
1103	40-41	0.5060274801991227
1103	42-43	0.48787228349960543
1103	44-45	0.4767593400012302
1103	46-47	0.47116779307557266
1103	48-49	0.4721900959662335
1103	50-51	0.389080703602275
1103	52-53	0.40450657806646717
1103	54-55	0.3475633561213698
1103	56-57	0.29372718571145384
1103	58-59	0.2559154248254387
1103	60-61	0.2720316894372772
1103	62-63	0.28618554384922845
1103	64-65	0.2924476287773814
1103	66-67	0.2360735257728095
1103	68-69	0.2616690020289667
1103	70-71	0.2359858315235499
1103	72-73	0.24318301505200424
1103	74-75	0.2583065329576897
1103	76-77	0.2676485490801852
1103	78-79	0.2132619849321955
1103	80-81	0.2517074949228615
1103	82-83	0.2329579437449496
1103	84-85	0.19958342717112743
1103	86-87	0.21382535201367858
1103	88-89	0.18505097328312559
1103	90-91	0.1962746978486365
1103	92-93	0.17503204435998043
1103	94-95	0.16468235090082572
1103	96-97	0.17201793684441924
1103	98-99	0.11846278738697436
1103	100-101	0.11354651217914835
1104	1	0.39406935324851133
1104	2	0.4252942910554367
1104	3	0.45735791936463954
1104	4	0.30096951649242243
1104	5	0.3129189915454518
1104	6	0.3255292978186546
1104	7	0.3400381020678793
1104	8	0.3558111882410131
1104	9	0.3751858878329557
1104	10-11	0.3867554247502838
1104	12-13	0.40363826777479517
1104	14-15	0.5493772375530952
1104	16-17	0.5736351429571087
1104	18-19	0.4903856590974698
1104	20-21	0.4988606208703317
1104	22-23	0.47153657940495464
1104	24-25	0.4966301505381665
1104	26-27	0.4856173641111141
1104	28-29	0.42537608914869196
1104	30-31	0.4798263794622031
1104	32-33	0.49420684174293683
1104	34-35	0.5137783860896263
1104	36-37	0.5151607029388714
1104	38-39	0.4626942151767821
1104	40-41	0.49221024285516535
1104	42-43	0.48295841374361714
1104	44-45	0.42309544343426353
1104	46-47	0.399847744575375
1104	48-49	0.4195903062106794
1104	50-51	0.376289176762036
1104	52-53	0.3812388250606773
1104	54-55	0.4254693549151014
1104	56-57	0.35524086734433524
1104	58-59	0.30720516996139935
1104	60-61	0.30988742316008455
1104	62-63	0.3230856371820465
1104	64-65	0.3338051394480459
1104	66-67	0.2569729246998236
1104	68-69	0.2471711807859478
1104	70-71	0.2535391492273078
1104	72-73	0.27124153943822193
1104	74-75	0.187061509696683
1104	76-77	0.2074203320721395
1104	78-79	0.20720848558912053
1104	80-81	0.2256158945032425
1104	82-83	0.2215112849294556
1104	84-85	0.21942646881993255
1104	86-87	0.18628408175634803
1104	88-89	0.19897810707634278
1104	90-91	0.21507904741407202
1104	92-93	0.19018685182682304
1104	94-95	0.19376137197892973
1104	96-97	0.19118417974444668
1104	98-99	0.15528673375774815
1104	100-101	0.15078803727630685
1105	1	0.20964782976192708
1105	2	0.25308206623807195
1105	3	0.2279405165692907
1105	4	0.22862178089300755
1105	5	0.21031775518085993
1105	6	0.19730915914446
1105	7	0.21065863485910796
1105	8	0.24235074058786665
1105	9	0.30344567011524504
1105	10-11	0.27120436591273034
1105	12-13	0.2241185918314983
1105	14-15	0.29681466036159776
1105	16-17	0.30688738457455145
1105	18-19	0.30550029431910986
1105	20-21	0.29128581167205425
1105	22-23	0.30540264214666024
1105	24-25	0.3116234108210634
1105	26-27	0.334404549133005
1105	28-29	0.30221038544168977
1105	30-31	0.30013768800106533
1105	32-33	0.3308358392100601
1105	34-35	0.33442295981962644
1105	36-37	0.29162331159655963
1105	38-39	0.3411144523230618
1105	40-41	0.2968030055034916
1105	42-43	0.26176403128344106
1105	44-45	0.2784897639625825
1105	46-47	0.23701768549783964
1105	48-49	0.23249547446223318
1105	50-51	0.15342883939614183
1105	52-53	0.16681721668488336
1105	54-55	0.20394879356887685
1105	56-57	0.17419936933013958
1105	58-59	0.18303376642733582
1105	60-61	0.21922682376705183
1105	62-63	0.19726399296884978
1105	64-65	0.20795899027065445
1105	66-67	0.21547817845281259
1105	68-69	0.13351586547126004
1105	70-71	0.07155359227215286
1105	72-73	0.09385652237209285
1105	74-75	0.13203042773493934
1105	76-77	0.11431541750216212
1105	78-79	0.14659530999845316
1105	80-81	0.08537581672955952
1105	82-83	0.12388199551356394
1105	84-85	0.06760682431308851
1105	86-87	0.06884588361566557
1105	88-89	0.12078651681768093
1105	90-91	0.1449104135032897
1105	92-93	0.08070582205650823
1105	94-95	0.11200008445297982
1105	96-97	0.03929154303876459
1105	98-99	0.07738615091691514
1105	100-101	0.049198614024668075
1106	1	0.17531336743746806
1106	2	0.1830663848588472
1106	3	0.22446442863295601
1106	4	0.2014613831937737
1106	5	0.19079543813705158
1106	6	0.1915228884966922
1106	7	0.18819569545978965
1106	8	0.2211900880554083
1106	9	0.21724747761893326
1106	10-11	0.2194421874187853
1106	12-13	0.21448394946951055
1106	14-15	0.2620312058126686
1106	16-17	0.16943051786066832
1106	18-19	0.22924975141681614
1106	20-21	0.26491442883375527
1106	22-23	0.2844241964954719
1106	24-25	0.21236226079611242
1106	26-27	0.17775907357691523
1106	28-29	0.23669834079345975
1106	30-31	0.23496246459527725
1106	32-33	0.2202827952877655
1106	34-35	0.16561080521488947
1106	36-37	0.24975415033397041
1106	38-39	0.207947232740743
1106	40-41	0.2128018735296564
1106	42-43	0.20518986898844105
1106	44-45	0.20038220573255217
1106	46-47	0.1922639394344472
1106	48-49	0.1787588470028325
1106	50-51	0.16768744403201907
1106	52-53	0.16125467739484378
1106	54-55	0.14848397115518708
1106	56-57	0.1454918589505354
1106	58-59	0.14343873447888456
